player,bpm,obpm,dbpm,vorp,age,ts_pct,mp,tov_pct,trb_pct,usg_pct,fg3a_per_fga_pct,fta_per_fga_pct,team,year,fg3_pct,fg2_pct,ft_pct
Chris Richard,-5.8,-6.8,1.0,-0.2,25,0.547,224,29.3,14.7,9.6,0.0,0.379,CHI,2010,0.0,0.517,0.636
Acie Law,-1.0,0.0,-1.0,0.0,25,0.58,135,17.4,5.8,22.9,0.267,0.6,CHI,2010,0.333,0.515,0.741
Lindsey Hunter,-12.0,-9.7,-2.4,-0.3,39,0.21,122,11.5,6.4,12.8,0.433,0.067,CHI,2010,0.077,0.235,1.0
Devin Brown,-8.3,-8.0,-0.3,-0.1,31,0.278,93,12.2,9.0,19.8,0.472,0.0,CHI,2010,0.235,0.211,0.0
Aaron Gray,-8.7,-5.5,-3.2,-0.1,25,0.374,50,4.0,17.8,22.5,0.0,0.333,CHI,2010,0.0,0.381,0.286
Joe Alexander,-8.3,-9.1,0.9,0.0,23,0.273,29,0.0,9.6,11.3,0.167,0.5,CHI,2010,0.0,0.2,0.667
Rodney Stuckey,-0.4,0.0,-0.4,1.0,23,0.479,2499,11.4,6.8,26.4,0.071,0.324,DET,2010,0.228,0.418,0.833
Jonas Jerebko,-1.3,-0.7,-0.6,0.4,22,0.545,2232,10.8,13.0,15.7,0.191,0.292,DET,2010,0.313,0.52,0.71
Ben Wallace,1.9,0.7,1.2,1.9,35,0.526,1975,15.0,18.3,10.0,0.007,0.548,DET,2010,0.0,0.545,0.406
Charlie Villanueva,0.0,0.8,-0.8,0.9,25,0.526,1848,7.7,12.0,23.9,0.341,0.157,DET,2010,0.351,0.484,0.815
Ben Gordon,-1.4,0.3,-1.8,0.2,26,0.534,1730,12.9,4.2,24.5,0.335,0.329,DET,2010,0.321,0.465,0.861
Will Bynum,-2.2,-1.0,-1.3,-0.1,27,0.513,1667,15.8,5.2,20.1,0.103,0.333,DET,2010,0.218,0.47,0.798
Tayshaun Prince,0.8,1.8,-1.0,1.2,29,0.53,1664,8.8,9.0,18.9,0.126,0.169,DET,2010,0.37,0.503,0.714
Richard Hamilton,-2.1,0.6,-2.7,0.0,31,0.505,1552,12.3,4.8,27.9,0.192,0.336,DET,2010,0.297,0.435,0.846
Jason Maxiell,-2.7,-1.4,-1.3,-0.3,26,0.531,1550,12.3,15.7,16.4,0.002,0.373,DET,2010,0.0,0.512,0.574
Austin Daye,-1.8,-1.7,-0.1,0.1,21,0.546,915,13.1,11.5,18.5,0.322,0.19,DET,2010,0.305,0.54,0.821
Kwame Brown,-5.6,-5.0,-0.6,-0.6,27,0.47,660,20.5,16.2,14.7,0.008,0.79,DET,2010,0.0,0.504,0.337
Chucky Atkins,-4.3,-2.9,-1.4,-0.4,35,0.477,644,15.9,2.7,14.4,0.465,0.172,DET,2010,0.301,0.417,0.926
Chris Wilcox,-3.8,-3.4,-0.4,-0.2,27,0.532,441,21.0,16.1,18.9,0.0,0.433,DET,2010,0.0,0.525,0.5
DaJuan Summers,-5.2,-3.4,-1.8,-0.3,22,0.457,405,9.8,6.7,18.5,0.323,0.292,DET,2010,0.357,0.352,0.711
Brandon Rush,-1.3,-1.5,0.1,0.4,24,0.522,2491,11.1,7.6,14.8,0.43,0.127,IND,2010,0.411,0.433,0.629
Troy Murphy,2.9,2.4,0.6,2.9,29,0.585,2344,10.0,17.2,18.8,0.41,0.237,IND,2010,0.384,0.533,0.798
Earl Watson,-2.3,-2.6,0.3,-0.2,30,0.517,2322,22.6,5.6,14.7,0.351,0.323,IND,2010,0.288,0.5,0.71
Danny Granger,3.1,3.1,0.0,2.9,26,0.564,2278,10.6,8.2,28.7,0.385,0.376,IND,2010,0.361,0.471,0.848
Roy Hibbert,-0.9,-1.5,0.6,0.6,23,0.537,2035,14.1,12.4,22.2,0.008,0.286,IND,2010,0.5,0.495,0.754
Dahntay Jones,-3.6,-3.3,-0.4,-0.8,29,0.527,1892,14.9,6.6,20.1,0.051,0.413,IND,2010,0.125,0.479,0.77
Mike Dunleavy,-0.8,-0.5,-0.4,0.4,29,0.531,1486,10.3,8.7,20.7,0.423,0.283,IND,2010,0.318,0.478,0.842
T.J. Ford,-1.4,-1.4,0.0,0.2,26,0.507,1189,15.9,6.8,21.0,0.12,0.323,IND,2010,0.16,0.484,0.77
A.J. Price,-0.5,-0.1,-0.4,0.3,23,0.53,865,13.2,5.6,22.7,0.492,0.212,IND,2010,0.345,0.472,0.8
Luther Head,-2.4,-1.5,-0.9,-0.1,27,0.53,813,13.8,5.4,21.2,0.338,0.186,IND,2010,0.352,0.481,0.828
Solomon Jones,-4.2,-5.0,0.8,-0.4,25,0.499,675,16.2,11.6,16.1,0.017,0.403,IND,2010,0.0,0.451,0.718
Josh McRoberts,-0.2,-1.1,0.9,0.2,22,0.55,524,10.5,13.2,15.3,0.158,0.26,IND,2010,0.348,0.553,0.5
Tyler Hansbrough,-3.3,-2.2,-1.2,-0.2,24,0.448,511,7.1,14.7,25.5,0.018,0.502,IND,2010,0.0,0.367,0.743
Jeff Foster,-3.2,-3.4,0.2,-0.1,33,0.49,255,21.9,17.3,11.1,0.022,0.196,IND,2010,0.0,0.489,0.556
Travis Diener,-1.3,-5.4,4.1,0.0,27,0.218,25,0.0,4.4,12.1,0.833,0.333,IND,2010,0.2,0.0,0.0
Brandon Jennings,0.7,0.5,0.2,1.8,20,0.475,2671,13.0,6.0,26.1,0.319,0.225,MIL,2010,0.374,0.37,0.817
Carlos Delfino,1.5,-0.1,1.5,2.0,27,0.526,2279,13.2,9.8,18.0,0.499,0.163,MIL,2010,0.367,0.45,0.782
Andrew Bogut,3.1,0.8,2.2,2.8,25,0.54,2229,11.4,17.9,23.3,0.002,0.26,MIL,2010,0.0,0.521,0.629
Ersan İlyasova,0.4,0.1,0.3,1.1,22,0.526,1898,8.2,15.5,20.8,0.331,0.217,MIL,2010,0.336,0.496,0.715
Luc Mbah a Moute,-0.3,-1.8,1.5,0.8,23,0.53,1866,14.1,12.2,12.1,0.046,0.36,MIL,2010,0.353,0.486,0.699
Luke Ridnour,2.2,1.7,0.5,1.8,28,0.57,1759,12.4,4.6,22.0,0.264,0.204,MIL,2010,0.381,0.513,0.907
Charlie Bell,-2.4,-2.9,0.5,-0.2,30,0.486,1611,10.3,4.7,14.8,0.451,0.151,MIL,2010,0.365,0.395,0.716
John Salmons,3.2,2.2,0.9,1.4,30,0.581,1129,9.4,4.8,22.7,0.264,0.357,MIL,2010,0.385,0.497,0.867
Kurt Thomas,-2.2,-4.4,2.1,-0.1,37,0.489,1049,18.3,15.8,11.3,0.0,0.072,MIL,2010,0.0,0.476,0.8
Hakim Warrick,-1.0,-0.4,-0.5,0.3,27,0.54,1024,11.2,11.8,22.6,0.016,0.455,MIL,2010,0.167,0.487,0.727
Jerry Stackhouse,-1.7,-1.4,-0.3,0.1,35,0.517,855,16.0,6.6,21.9,0.411,0.218,MIL,2010,0.346,0.452,0.797
Michael Redd,0.1,-0.9,1.0,0.2,30,0.444,492,5.8,6.2,23.7,0.282,0.31,MIL,2010,0.3,0.373,0.712
