team,fg_pct,fg3_pct,ft_pct,year,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,mov,sos,wins,losses,efg_pct,orb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,win_pct
DAL,.447,0.34,0.742,2019,109.4,110.7,99.0,0.291,0.422,0.555,-1.28,0.42,33,49,0.519,0.23,0.13,0.216,0.522,0.12,0.78,0.191,0.43
IND,.475,0.374,0.752,2019,109.9,106.5,98.1,0.242,0.292,0.561,3.33,-0.57,48,34,0.53,0.22,0.12,0.182,0.516,0.14,0.76,0.184,0.57
PHO,.459,0.329,0.779,2019,105.9,115.1,100.5,0.259,0.335,0.552,-9.34,0.73,19,63,0.514,0.2,0.14,0.202,0.545,0.14,0.72,0.236,0.15
ORL,.454,0.356,0.782,2019,108.9,108.1,98.1,0.216,0.36,0.55,0.71,-0.43,42,40,0.518,0.22,0.12,0.168,0.515,0.12,0.8,0.186,0.5
DET,.440,0.348,0.747,2019,109.0,109.2,97.4,0.262,0.394,0.544,-0.24,-0.31,41,41,0.509,0.25,0.12,0.195,0.526,0.13,0.79,0.211,0.5
MIA,.450,0.349,0.695,2019,107.3,107.6,98.2,0.247,0.368,0.542,-0.23,-0.22,39,43,0.515,0.25,0.13,0.172,0.51,0.13,0.78,0.201,0.43
CHI,.453,0.351,0.783,2019,104.8,113.2,99.0,0.235,0.295,0.541,-8.41,0.10,22,60,0.505,0.19,0.13,0.184,0.541,0.12,0.77,0.188,0.25
NYK,.433,0.34,0.759,2019,104.5,113.7,99.6,0.27,0.334,0.529,-9.21,0.28,17,65,0.49,0.22,0.12,0.205,0.533,0.12,0.76,0.203,0.15
CLE,.444,0.355,0.792,2019,107.7,117.6,96.6,0.236,0.332,0.54,-9.61,0.22,19,63,0.503,0.24,0.12,0.187,0.564,0.12,0.77,0.181,0.15
MEM,.450,0.342,0.772,2019,106.1,108.8,96.6,0.272,0.342,0.548,-2.60,0.51,33,49,0.508,0.2,0.13,0.21,0.521,0.14,0.78,0.232,0.43
DAL,.461,0.367,0.779,2020,116.7,111.7,99.3,0.264,0.457,0.581,4.95,-0.07,43,32,0.545,0.23,0.11,0.206,0.525,0.11,0.78,0.175,0.57
MIL,.476,0.355,0.742,2020,112.4,102.9,105.1,0.271,0.428,0.583,10.08,-0.67,56,17,0.552,0.21,0.13,0.201,0.489,0.12,0.82,0.178,0.83
POR,.463,0.377,0.804,2020,113.7,114.8,100.7,0.242,0.374,0.57,-1.15,0.54,35,39,0.533,0.22,0.11,0.194,0.53,0.11,0.75,0.208,0.5
HOU,.451,0.345,0.791,2020,112.9,110.1,103.7,0.288,0.501,0.578,2.96,0.17,44,28,0.537,0.21,0.13,0.228,0.529,0.14,0.76,0.197,0.66
LAC,.466,0.371,0.791,2020,113.9,107.6,101.5,0.295,0.375,0.577,6.44,0.21,49,23,0.535,0.24,0.13,0.233,0.506,0.12,0.78,0.206,0.67
NOP,.465,0.37,0.729,2020,110.7,111.9,103.7,0.256,0.403,0.568,-1.29,0.74,30,42,0.539,0.24,0.14,0.186,0.532,0.12,0.78,0.212,0.43
PHO,.468,0.358,0.834,2020,111.7,111.4,101.3,0.271,0.361,0.576,0.22,0.35,34,39,0.532,0.22,0.13,0.226,0.539,0.14,0.79,0.221,0.5
WAS,.457,0.368,0.788,2020,110.9,115.5,102.7,0.27,0.358,0.562,-4.67,-0.57,25,47,0.523,0.22,0.12,0.213,0.558,0.14,0.75,0.231,0.33
MEM,.468,0.347,0.763,2020,109.2,110.3,102.8,0.24,0.346,0.561,-1.07,0.16,34,39,0.528,0.23,0.13,0.183,0.521,0.13,0.78,0.217,0.5
BOS,.461,0.364,0.801,2020,113.3,107.0,99.5,0.259,0.386,0.57,6.31,-0.47,48,24,0.531,0.24,0.12,0.207,0.509,0.14,0.77,0.215,0.67
MIA,.468,0.379,0.783,2020,112.5,109.5,98.3,0.299,0.419,0.587,2.95,-0.35,44,29,0.547,0.2,0.14,0.234,0.523,0.13,0.8,0.213,0.66
DEN,.473,0.359,0.777,2020,113.1,111.0,97.1,0.235,0.344,0.567,2.11,0.24,46,27,0.535,0.25,0.12,0.183,0.533,0.13,0.77,0.198,0.66
TOR,.458,0.374,0.796,2020,111.1,105.0,100.9,0.264,0.421,0.574,6.24,-0.26,53,19,0.536,0.21,0.13,0.21,0.502,0.15,0.77,0.202,0.82
SAS,.472,0.376,0.81,2020,112.4,113.5,100.5,0.262,0.318,0.572,-1.11,0.46,32,39,0.531,0.2,0.11,0.212,0.542,0.12,0.79,0.193,0.49
PHI,.468,0.368,0.755,2020,111.3,109.0,99.0,0.255,0.36,0.566,2.38,-0.13,43,30,0.534,0.24,0.13,0.193,0.523,0.12,0.8,0.214,0.57
LAL,.480,0.349,0.729,2020,112.0,106.3,100.9,0.276,0.358,0.573,5.79,0.49,52,19,0.542,0.24,0.13,0.201,0.515,0.14,0.79,0.205,0.82
BRK,.448,0.343,0.745,2020,108.9,109.5,101.4,0.267,0.423,0.554,-0.57,-0.44,35,37,0.52,0.23,0.13,0.199,0.511,0.11,0.78,0.187,0.5
UTA,.471,0.38,0.779,2020,112.3,109.9,98.6,0.268,0.414,0.585,2.47,0.05,44,28,0.549,0.22,0.14,0.208,0.518,0.11,0.79,0.185,0.66
IND,.476,0.363,0.787,2020,110.0,108.0,98.9,0.216,0.317,0.565,1.96,-0.33,45,28,0.534,0.2,0.12,0.17,0.511,0.13,0.77,0.192,0.66
OKC,.468,0.355,0.796,2020,110.8,108.8,98.8,0.29,0.353,0.573,1.99,0.34,44,28,0.53,0.19,0.12,0.231,0.518,0.13,0.77,0.173,0.66
SAC,.462,0.364,0.77,2020,110.2,112.2,98.9,0.23,0.395,0.566,-2.04,0.46,31,41,0.534,0.22,0.13,0.177,0.543,0.14,0.78,0.225,0.43
ORL,.444,0.343,0.774,2020,108.5,109.5,98.6,0.256,0.364,0.544,-1.01,0.09,33,40,0.506,0.22,0.12,0.198,0.535,0.13,0.79,0.176,0.43
ATL,.449,0.333,0.79,2020,107.2,114.8,103.0,0.258,0.398,0.554,-7.97,0.27,20,47,0.515,0.22,0.14,0.204,0.543,0.13,0.75,0.233,0.33
MIN,.441,0.336,0.753,2020,108.1,112.2,103.4,0.277,0.433,0.551,-4.30,0.28,19,45,0.514,0.22,0.13,0.209,0.541,0.13,0.77,0.218,0.21
DET,.459,0.367,0.743,2020,109.0,112.7,97.6,0.261,0.381,0.561,-3.56,-0.82,20,46,0.529,0.23,0.14,0.194,0.541,0.13,0.76,0.186,0.33
NYK,.447,0.337,0.694,2020,106.5,113.0,98.6,0.263,0.318,0.531,-6.45,-0.26,21,45,0.501,0.26,0.13,0.182,0.541,0.12,0.78,0.224,0.33
CLE,.458,0.351,0.758,2020,107.5,115.4,98.7,0.227,0.362,0.553,-7.89,0.12,19,46,0.522,0.25,0.15,0.172,0.56,0.12,0.77,0.164,0.21
CHI,.447,0.348,0.755,2020,106.7,109.8,99.7,0.231,0.396,0.547,-3.08,-0.93,22,43,0.515,0.23,0.14,0.175,0.546,0.16,0.76,0.239,0.33
GSW,.438,0.334,0.803,2020,105.2,113.8,100.3,0.264,0.355,0.54,-8.71,0.59,15,50,0.497,0.22,0.13,0.212,0.553,0.14,0.76,0.193,0.17
CHO,.434,0.352,0.748,2020,106.3,113.3,95.8,0.252,0.399,0.539,-6.75,-0.28,23,42,0.504,0.24,0.13,0.188,0.546,0.13,0.74,0.159,0.34
MIL,.487,0.389,0.76,2021,117.2,111.4,102.2,0.233,0.404,0.593,5.89,-0.32,46,26,0.566,0.23,0.12,0.177,0.536,0.12,0.8,0.157,0.66
BRK,.494,0.392,0.804,2021,118.3,113.8,99.5,0.258,0.413,0.61,4.50,-0.27,48,24,0.575,0.21,0.12,0.208,0.531,0.11,0.77,0.187,0.67
WAS,.475,0.351,0.769,2021,111.2,113.0,104.1,0.288,0.319,0.569,-1.83,-0.01,34,38,0.531,0.21,0.12,0.221,0.539,0.12,0.78,0.217,0.5
UTA,.468,0.389,0.799,2021,117.6,108.3,98.5,0.244,0.488,0.597,9.25,-0.29,52,20,0.563,0.24,0.13,0.195,0.507,0.1,0.79,0.159,0.72
POR,.453,0.385,0.823,2021,117.8,116.0,98.4,0.238,0.448,0.577,1.79,0.01,42,30,0.54,0.23,0.1,0.195,0.546,0.11,0.78,0.203,0.57
IND,.474,0.364,0.792,2021,112.4,112.4,101.6,0.227,0.372,0.575,-0.04,-0.08,34,38,0.542,0.2,0.12,0.18,0.531,0.13,0.75,0.201,0.5
PHO,.490,0.378,0.834,2021,117.2,111.3,97.2,0.212,0.392,0.597,5.82,-0.15,51,21,0.564,0.21,0.12,0.177,0.534,0.12,0.78,0.194,0.71
DEN,.485,0.377,0.803,2021,117.1,112.1,97.1,0.219,0.383,0.588,4.93,-0.11,47,25,0.557,0.25,0.12,0.176,0.545,0.13,0.79,0.2,0.67
NOP,.477,0.348,0.729,2021,113.5,113.8,100.1,0.293,0.342,0.57,-0.29,0.10,31,41,0.537,0.26,0.13,0.214,0.55,0.12,0.8,0.186,0.43
LAC,.482,0.411,0.839,2021,117.6,111.2,96.9,0.222,0.4,0.599,6.18,-0.16,47,25,0.564,0.23,0.12,0.186,0.531,0.12,0.79,0.186,0.67
SAC,.481,0.364,0.745,2021,113.6,117.2,100.0,0.248,0.376,0.578,-3.68,0.23,31,41,0.549,0.21,0.12,0.185,0.557,0.12,0.75,0.199,0.43
GSW,.468,0.376,0.785,2021,111.1,110.1,102.2,0.239,0.439,0.583,1.06,0.04,39,33,0.551,0.18,0.13,0.188,0.522,0.13,0.77,0.223,0.5
ATL,.468,0.373,0.812,2021,115.7,113.3,97.6,0.278,0.382,0.581,2.32,-0.18,41,31,0.539,0.24,0.12,0.226,0.53,0.11,0.78,0.19,0.57
PHI,.476,0.374,0.767,2021,113.2,107.6,99.5,0.293,0.347,0.579,5.58,-0.31,49,23,0.541,0.23,0.13,0.225,0.521,0.14,0.78,0.2,0.67
MEM,.467,0.356,0.771,2021,112.0,111.0,100.4,0.232,0.342,0.56,1.03,0.04,38,34,0.528,0.24,0.12,0.179,0.535,0.13,0.78,0.196,0.5
BOS,.466,0.374,0.775,2021,114.0,112.5,98.3,0.234,0.409,0.574,1.46,-0.14,36,36,0.543,0.24,0.12,0.181,0.539,0.13,0.78,0.215,0.5
DAL,.470,0.362,0.778,2021,115.4,113.0,97.3,0.242,0.436,0.582,2.26,-0.01,42,30,0.55,0.21,0.11,0.189,0.534,0.12,0.78,0.197,0.57
MIN,.448,0.349,0.761,2021,109.5,115.0,101.6,0.254,0.413,0.555,-5.56,0.31,23,49,0.52,0.23,0.12,0.193,0.556,0.13,0.77,0.207,0.33
TOR,.448,0.368,0.815,2021,112.0,112.5,99.2,0.241,0.444,0.567,-0.47,-0.07,27,45,0.529,0.21,0.12,0.196,0.543,0.14,0.76,0.234,0.34
SAS,.462,0.35,0.792,2021,111.0,112.8,98.9,0.243,0.314,0.554,-1.74,0.15,33,39,0.517,0.2,0.1,0.192,0.541,0.12,0.77,0.174,0.5
CHI,.476,0.37,0.791,2021,111.1,112.0,99.0,0.197,0.383,0.575,-0.89,-0.05,31,41,0.547,0.22,0.14,0.156,0.538,0.12,0.8,0.196,0.43
LAL,.472,0.354,0.739,2021,109.9,107.1,98.7,0.271,0.363,0.569,2.79,-0.03,42,30,0.536,0.22,0.14,0.2,0.526,0.14,0.8,0.184,0.57
CHO,.455,0.369,0.761,2021,110.9,112.8,98.3,0.238,0.422,0.564,-1.93,-0.01,33,39,0.532,0.24,0.13,0.181,0.55,0.13,0.76,0.163,0.5
HOU,.444,0.339,0.74,2021,107.1,114.9,101.4,0.252,0.459,0.553,-7.90,0.40,17,55,0.521,0.2,0.13,0.187,0.555,0.13,0.77,0.201,0.17
MIA,.468,0.358,0.79,2021,111.2,111.2,96.6,0.252,0.432,0.581,0.03,-0.09,40,32,0.546,0.19,0.13,0.199,0.542,0.14,0.78,0.183,0.57
NYK,.456,0.392,0.784,2021,110.6,108.2,95.9,0.242,0.347,0.559,2.31,-0.18,41,31,0.524,0.22,0.12,0.19,0.509,0.12,0.79,0.196,0.57
DET,.452,0.351,0.759,2021,108.0,112.5,97.9,0.273,0.385,0.556,-4.47,0.09,20,52,0.519,0.22,0.14,0.207,0.541,0.13,0.77,0.195,0.28
OKC,.441,0.339,0.725,2021,103.5,114.0,101.0,0.242,0.399,0.539,-10.64,0.51,22,50,0.509,0.21,0.14,0.176,0.547,0.12,0.78,0.167,0.29
ORL,.429,0.343,0.775,2021,105.1,114.5,98.7,0.24,0.356,0.527,-9.31,0.29,21,51,0.49,0.22,0.12,0.186,0.547,0.12,0.78,0.169,0.29
CLE,.450,0.336,0.743,2021,105.8,114.4,97.3,0.261,0.347,0.543,-8.44,0.25,22,50,0.508,0.24,0.14,0.194,0.556,0.13,0.77,0.183,0.29
CHO,.457,0.36,0.737,2022,111.9,112.9,100.5,0.227,0.416,0.56,-1.05,0.12,28,28,0.532,0.23,0.12,0.167,0.543,0.13,0.76,0.189,0.5
MEM,.458,0.339,0.738,2022,112.9,108.5,99.5,0.236,0.348,0.547,4.48,0.09,38,18,0.517,0.29,0.11,0.174,0.524,0.14,0.78,0.187,0.74
MIL,.460,0.364,0.779,2022,113.5,109.3,99.2,0.243,0.442,0.573,4.18,-0.83,35,21,0.54,0.23,0.12,0.189,0.522,0.12,0.78,0.164,0.6
SAC,.456,0.344,0.76,2022,109.7,114.6,99.7,0.25,0.38,0.555,-4.95,0.24,21,36,0.521,0.23,0.12,0.19,0.542,0.12,0.75,0.175,0.4
UTA,.472,0.361,0.779,2022,116.0,109.5,97.9,0.265,0.469,0.591,6.44,-0.06,34,21,0.557,0.24,0.13,0.207,0.516,0.11,0.78,0.155,0.6
LAL,.466,0.349,0.723,2022,108.9,110.4,100.2,0.249,0.388,0.562,-1.57,-0.64,26,30,0.534,0.21,0.13,0.18,0.526,0.13,0.76,0.189,0.41
MIN,.447,0.35,0.765,2022,112.1,110.4,100.1,0.234,0.452,0.558,1.73,-0.06,29,26,0.526,0.26,0.13,0.179,0.53,0.15,0.75,0.227,0.5
CHI,.480,0.375,0.814,2022,113.7,111.9,98.3,0.245,0.345,0.582,1.78,-0.62,34,21,0.545,0.21,0.12,0.199,0.533,0.12,0.78,0.188,0.6
SAS,.464,0.352,0.738,2022,110.9,111.1,99.7,0.198,0.338,0.549,-0.25,0.20,20,35,0.523,0.24,0.11,0.146,0.528,0.12,0.75,0.166,0.4
PHO,.478,0.361,0.795,2022,113.7,106.0,99.2,0.224,0.353,0.575,7.61,-0.14,44,10,0.542,0.23,0.12,0.179,0.505,0.13,0.77,0.179,0.8
IND,.455,0.333,0.77,2022,110.6,113.1,97.3,0.237,0.395,0.554,-2.48,0.51,19,37,0.521,0.25,0.13,0.183,0.535,0.12,0.77,0.204,0.26
GSW,.466,0.364,0.764,2022,111.7,103.9,98.5,0.234,0.466,0.581,7.71,-0.23,41,14,0.551,0.23,0.14,0.179,0.499,0.14,0.79,0.191,0.79
BOS,.452,0.34,0.816,2022,110.6,105.9,96.6,0.235,0.416,0.561,4.66,-0.40,31,25,0.523,0.24,0.13,0.192,0.499,0.13,0.78,0.179,0.59
ATL,.468,0.376,0.802,2022,114.7,114.2,97.5,0.248,0.381,0.576,0.44,0.28,26,28,0.539,0.23,0.11,0.199,0.539,0.11,0.78,0.174,0.5
POR,.447,0.354,0.761,2022,109.8,114.5,97.8,0.247,0.437,0.558,-4.57,0.47,22,34,0.524,0.23,0.12,0.188,0.555,0.12,0.79,0.19,0.4
BRK,.468,0.352,0.811,2022,111.6,111.8,99.0,0.234,0.359,0.568,-0.19,-0.14,29,25,0.531,0.23,0.12,0.19,0.514,0.12,0.76,0.192,0.5
MIA,.461,0.378,0.815,2022,112.8,108.1,95.6,0.237,0.421,0.577,4.53,-0.39,35,20,0.54,0.25,0.14,0.193,0.523,0.14,0.78,0.204,0.6
LAC,.450,0.36,0.789,2022,107.5,109.1,98.6,0.221,0.396,0.555,-1.52,0.21,27,29,0.521,0.2,0.13,0.174,0.509,0.12,0.74,0.166,0.5
DEN,.474,0.355,0.786,2022,112.7,110.6,96.9,0.219,0.42,0.578,2.13,0.05,30,24,0.548,0.21,0.13,0.172,0.534,0.12,0.78,0.178,0.6
CLE,.464,0.352,0.751,2022,110.6,105.8,96.3,0.246,0.393,0.565,4.56,-0.07,34,21,0.534,0.24,0.14,0.185,0.503,0.13,0.76,0.156,0.6
DAL,.454,0.338,0.771,2022,110.4,107.1,95.8,0.235,0.426,0.559,3.24,-0.28,32,23,0.526,0.21,0.12,0.181,0.516,0.13,0.79,0.179,0.6
HOU,.450,0.343,0.716,2022,107.0,115.7,100.8,0.291,0.451,0.56,-8.76,0.23,15,39,0.527,0.22,0.15,0.208,0.552,0.12,0.76,0.201,0.25
PHI,.466,0.357,0.811,2022,111.6,109.4,95.9,0.254,0.363,0.57,2.07,-0.43,32,22,0.53,0.2,0.12,0.206,0.514,0.12,0.76,0.186,0.6
ORL,.433,0.33,0.787,2022,104.2,112.2,98.8,0.225,0.411,0.536,-7.95,0.15,13,43,0.501,0.2,0.13,0.177,0.53,0.12,0.76,0.195,0.2
TOR,.442,0.356,0.758,2022,112.1,110.1,95.9,0.228,0.384,0.543,1.91,0.35,30,23,0.511,0.28,0.12,0.172,0.531,0.15,0.75,0.202,0.6
NYK,.435,0.353,0.746,2022,108.8,110.1,95.6,0.258,0.426,0.545,-1.33,0.02,24,31,0.511,0.25,0.12,0.192,0.518,0.12,0.78,0.188,0.4
NOP,.443,0.328,0.792,2022,108.8,112.2,96.9,0.259,0.375,0.545,-3.24,0.19,22,32,0.504,0.26,0.13,0.205,0.542,0.13,0.79,0.192,0.4
WAS,.462,0.322,0.779,2022,109.2,112.4,97.0,0.258,0.359,0.557,-3.17,0.60,24,29,0.52,0.21,0.12,0.201,0.518,0.11,0.77,0.196,0.49
DET,.420,0.318,0.776,2022,103.1,112.9,98.7,0.249,0.395,0.522,-9.78,0.41,12,42,0.483,0.22,0.13,0.193,0.544,0.14,0.76,0.215,0.2
OKC,.418,0.314,0.765,2022,102.8,109.7,97.8,0.215,0.424,0.518,-6.72,0.24,17,37,0.484,0.22,0.12,0.164,0.522,0.12,0.76,0.157,0.26
